,Name,Price,Location,Model_Year,Mileage,Fuel_Type,Transmission,Year,Price_per_Mile,Brand,Brand_Model,Fuel,County
1561,Mazda MX30 Cosmo e-Skyactiv EV (se utrustning),184500,"16867 BROMMA, Stockholm",Jun 2021,3830,Electric,Automatic,2021,48.17232375979112,Mazda,Mazda MX30,Electric,Stockholm
1562,"Nissan X-Trail / 360-Kamera, Taklucka, GPS",167000,"19561, Stockholm",May 2017,14160,1.6L Diesel,Automatic,2017,11.793785310734464,Nissan,Nissan X-Trail,Diesel,Stockholm
1563,"Ford Mondeo Hybrid E-CVT Titanium, MOMS, Blis, Kamera, Navi",199900,"44245 Kungälv, Västra Götaland",Mar 2019,9382,2.0L Hybrid,Automatic,2019,21.306757620976338,Ford,Ford Mondeo,Hybrid,Västra Götaland
1564,Tesla Model 3 Long Range AWD (Autopilot),279900,"11347 Stockholm, Stockholm",Mar 2020,10397,Electric,Automatic,2020,26.921227277099163,Tesla,Tesla Model,Electric,Stockholm
1565,"VW Passat Alltrack 2.0 TDI 4Motion, Drag, Värmare",189900,"16867 BROMMA, Stockholm",Jan 2014,8250,2.0L Diesel,Automatic,2014,23.01818181818182,VW,VW Passat,Diesel,Stockholm
1566,Hyundai Kona Electric 64 kWh Premium,249900,"11347 Stockholm, Stockholm",Apr 2020,4433,Electric,Automatic,2020,56.37265959846605,Hyundai,Hyundai Kona,Electric,Stockholm
1567,"Mercedes GLA200 d 4MATIC Motorvärmare, Backkamera, PDC",196000,"19561 Arlandastad, Stockholm",Jun 2016,11150,2.1L Diesel,Automatic,2016,17.57847533632287,Mercedes,Mercedes GLA200,Diesel,Stockholm
1568,"Volvo XC60 Plug-In Hybrid / Motorvärmare, Panorama, 340HK",414000,"19561, Stockholm",May 2021,7170,2.0L Hybrid,Automatic,2021,57.74058577405858,Volvo,Volvo XC60,Hybrid,Stockholm
1569,"Audi A4 Avant 40 TDI quattro Proline / GPS, Rattvärme, 204HK",260000,"19561, Stockholm",Mar 2021,12550,2.0L Diesel,Automatic,2021,20.717131474103585,Audi,Audi A4,Diesel,Stockholm
1570,Polestar 2 Standard Range Single Motor,313900,"11347 Stockholm, Stockholm",Oct 2021,4469,Electric,Automatic,2021,70.23942716491385,Polestar,Polestar 2,Electric,Stockholm
1571,Polestar 2 Standard Range Single Motor,304900,"11347 Stockholm, Stockholm",Nov 2021,6225,Electric,Automatic,2021,48.97991967871486,Polestar,Polestar 2,Electric,Stockholm
1572,Renault Zoe R110 52 kWh Zen,164900,"11347 Stockholm, Stockholm",2022,4512,Electric,Automatic,2022,36.54698581560284,Renault,Renault Zoe,Electric,Stockholm
